Artist,MonthlyListeners
Drake,110922800
Taylor Swift,100929100
Bad Bunny,94799700
The Weeknd,76974200
Justin Bieber,58876800
Ed Sheeran,56295800
Eminem,55139200
Ariana Grande,54437000
Travis Scott,54386200
Kanye West,52942300
Post Malone,48355800
Rihanna,47935400
Billie Eilish,45889600
J Balvin,45746100
Kendrick Lamar,44825300
Future,43770100
BTS,42611400
Bruno Mars,41941300
Juice WRLD,40539700
Ozuna,39858700
Nicki Minaj,37809800
Coldplay,37568200
XXXTENTACION,35651400
Dua Lipa,35539700
Chris Brown,35263400
Imagine Dragons,34636800
21 Savage,33883900
David Guetta,33492100
Daddy Yankee,33402900
Lil Wayne,32937800
Lana Del Rey,32731400
Anuel AA,31956800
Khalid,31390500
Rauw Alejandro,31360800
SZA,30137100
Lil Baby,30027200
Maroon 5,29563900
Beyoncé,29354900
KAROL G,29286700
Maluma,28604800
Calvin Harris,28119600
Lil Uzi Vert,27786500
Lady Gaga,27581300
J. Cole,27376700
Feid,27247700
Sia,26982500
Myke Towers,26905800
Young Thug,26255800
Shawn Mendes,26031300
Sam Smith,25723200
Queen,25093900
Doja Cat,25029500
Farruko,24555300
One Direction,24422900
Linkin Park,24338300
Arijit Singh,24281500
Harry Styles,24197700
Shakira,24132800
Adele,24071600
Metro Boomin,23890100
Selena Gomez,22973900
Ty Dolla $ign,22710600
Katy Perry,22505300
Halsey,22478200
Gunna,22216000
Peso Pluma,22117300
Nicky Jam,21988600
Arctic Monkeys,21897800
The Beatles,21849200
Olivia Rodrigo,21375900
Morgan Wallen,21022100
Marshmello,20838000
The Chainsmokers,20739000
Tyler The Creator,20607100
Wiz Khalifa,20585500
Miley Cyrus,20218700
Cardi B,19795900
JAY-Z,19751900
Frank Ocean,19641700
A$AP Rocky,19523400
Camila Cabello,18900800
Pitbull,18782700
Twenty One Pilots,18305800
Junior H,18250500
Avicii,18170300
Pritam,18104700
DaBaby,17894700
Playboi Carti,17761300
OneRepublic,17694700
Quavo,17491600
Red Hot Chili Peppers,17410700
Kygo,17384800
Sech,17228700
Disney,17158300
Snoop Dogg,17021500
$uicideboy$,16875200
Michael Jackson,16793400
Trippie Redd,16488100
Arcángel,16477000
Mac Miller,16125300
2Pac,11002800
Dr. Dre,10988500
ZAYN,10972600
Radiohead,10952000
Robin Schulz,10948000
Mariah Carey,10916700
Michael Bublé,10910100
Tate McRae,10847100
Guns N' Roses,10834800
Ava Max,10771630
Zara Larsson,10767900
Zedd,10709200
Pink Floyd,10703100
Banda MS de Sergio Lizárraga,10609900
Gorillaz,10589700
The Rolling Stones,10559200
Miguel,10556600
Daniel Caesar,10494100
Lauv,10493300
Zion & Lennox,10480100
Meghan Trainor,10391800
Chance the Rapper,10355300
John Legend,10353800
Rels B,10338700
Enrique Iglesias,10325500
French Montana,10267400
Lil Tjay,10245100
Quevedo,10190400
Jul,10189800
Anirudh Ravichander,10179400
Little Mix,10146700
Charli XCX,10136300
Stray Kids,10098700
Gusttavo Lima,10080800
Skrillex,10057200
Reik,10055500
PARTYNEXTDOOR,9992100
Brent Faiyaz,9959800
DJ Khaled,9900500
Yandel,9853000
System Of A Down,9849700
Melanie Martinez,9807900
ABBA,9806600
Tame Impala,9798300
Mora,9745600
Rick Ross,9733800
Alicia Keys,9718700
Wisin & Yandel,9645200
TWICE,9638700
Labrinth,9574600
Elvis Presley,9560300
Grupo Frontera,9525900
Eladio Carrion,9401500
Kesha,9378400
Frank Sinatra,9356800
Creedence Clearwater Revival,9248000
Clean Bandit,9211800
Meek Mill,9175500
Luis R Conriquez,9172000
blink-182,9129900
Christina Aguilera,9128400
Madonna,9124700
Alessia Cara,9094400
Darell,9089300
Shreya Ghoshal,9084500
Lil Tecca,9065600
Florida Georgia Line,9006000
U2,9003600
Foo Fighters,9002000
Troye Sivan,8996800
Russ,8984700
Lorde,8983800
David Bowie,8945000
Ñengo Flow,8941100
Jhené Aiko,8926200
Rammstein,8917800
Cigarettes After Sex,8884700
Slipknot,8821200
The Killers,8793100
NAV,8792700
Ninho,8756500
Paramore,8742700
The Notorious B.I.G.,8670200
Maria Becerra,8669700
Tainy,8667000
Luis Fonsi,8656300
Chencho Corleone,8642600
T-Pain,8641200
Bon Jovi,8627600
The 1975,8626000
Jonas Blue,8607900
Bryant Myers,8600600
Noah Kahan,8497000
Bastille,8491100
Zé Neto & Cristiano,8468500
Jung Kook,8455700
Mitski,8398700
Dalex,8379200
Paulo Londra,8378800
Julia Michaels,8299800
Grupo Firme,8286400